dataId,label,accX,accY,accZ,gyroX,gyroY,gyroZ
1,LeftRight,2.8379,2.948,8.7386,42.5609,32.2639,105.0292
1,LeftRight,2.8283,2.5077,9.0018,22.6534,107.0886,177.1081
1,LeftRight,2.8283,2.5603,9.6335,48.0526,126.3097,179.854
1,LeftRight,2.9001,2.8235,9.9254,131.1149,115.3262,182.5998
1,LeftRight,3.0389,4.1539,9.6861,194.2697,155.1412,222.4148
1,LeftRight,3.1394,5.2786,10.0403,264.2892,181.2269,260.1704
1,LeftRight,2.7852,7.0014,10.2844,286.2561,238.89,319.2065
1,LeftRight,2.053,9.1502,11.8636,183.2863,244.3817,512.1033
1,LeftRight,1.651,10.1025,12.5862,144.1578,-27.4586,849.8444
1,LeftRight,1.3543,9.7531,10.0355,188.0916,-249.187,1005.672
1,LeftRight,0.7274,11.9545,7.5422,126.3097,-25.3992,1254.8589
1,LeftRight,-0.4546,13.3137,8.2648,110.521,114.6397,1931.0275
1,LeftRight,-1.9813,10.5476,7.791,181.2269,63.8413,2565.3215
1,LeftRight,-3.4744,3.5892,7.7384,-84.4353,252.6193,2723.2087
1,LeftRight,-4.4554,-0.0622,11.0596,-366.5726,199.7615,2807.6438
1,LeftRight,-4.6564,-4.8861,12.2704,-595.1656,-107.0886,2093.7197
1,LeftRight,-3.4552,0.2249,9.9876,-691.9572,-264.2892,2704.6741
1,LeftRight,-4.6038,-11.4664,9.3129,-877.3029,-39.1285,2644.9514
1,LeftRight,-3.283,-18.999,12.39,-1205.4335,-702.2542,1314.5815
1,LeftRight,-0.3063,-12.6724,5.9581,-672.0497,-915.0585,442.0838
1,LeftRight,0.9858,-7.7049,4.4267,-604.7761,-448.262,584.8686
1,LeftRight,1.6654,-7.8293,5.9007,-61.0954,-416.6846,726.967
1,LeftRight,1.3208,-8.1691,5.2546,135.2337,-147.5901,775.706
1,LeftRight,0.7274,-9.5904,7.1689,-25.3992,216.9231,389.9124
1,LeftRight,0.4881,-9.0592,9.9111,-52.8578,155.8277,205.2532
1,LeftRight,0.4164,-10.471,9.9829,-43.2473,-28.1451,-317.8335
1,LeftRight,0.5121,-11.6674,10.2078,67.2736,-286.9426,-694.0166
1,LeftRight,0.3063,-12.524,8.7003,313.0283,-375.4966,-998.1208
1,LeftRight,-0.2632,-13.6917,8.7769,479.1529,-184.6592,-1504.7324
1,LeftRight,-0.4738,-11.6913,10.6911,456.4996,-107.7751,-1938.5785
1,LeftRight,-0.8997,-9.8489,10.3179,398.8365,-172.3028,-2056.6506
1,LeftRight,-1.4548,-7.2311,9.533,70.7059,70.0195,-1978.3937
